,R32_pct,R16_pct,QF_pct,SF_pct,Final_pct,Winner_pct
Spain,99.79,95.19,81.06,66.34,42.49,20.96
France,99.47,92.08,73.13,56.89999999999999,38.019999999999996,20.330000000000002
Brazil,98.32,83.7,54.52,38.47,23.21,13.65
Germany,99.61,87.79,66.47999999999999,37.79,13.669999999999998,7.13
England,99.42999999999999,86.83,64.94,29.74,11.16,5.8999999999999995
Netherlands,98.71,84.48,59.69,29.360000000000003,10.59,5.52
Portugal,99.00999999999999,85.5,65.08,24.9,10.73,5.41
Belgium,99.00999999999999,81.74,52.61,15.89,8.7,4.38
Argentina,98.15,79.33,50.949999999999996,26.91,9.43,3.27
United States,96.21,69.51,26.729999999999997,7.969999999999999,4.45,2.04
Japan,90.83,51.5,17.09,6.890000000000001,3.85,1.95
Morocco,94.5,63.2,23.13,8.309999999999999,3.8699999999999997,1.49
Croatia,93.49,62.29,19.009999999999998,7.59,3.1300000000000003,1.18
Norway,52.88,21.95,7.89,3.04,1.8599999999999999,0.9400000000000001
Mexico,95.63000000000001,61.38,17.71,5.06,2.13,0.8099999999999999
Senegal,84.65,34.4,9.049999999999999,3.32,1.5699999999999998,0.76
Switzerland,94.19,48.54,11.72,3.2800000000000002,1.6500000000000001,0.67
South Korea,90.75999999999999,42.07,9.93,3.0300000000000002,1.44,0.66
Sweden,70.15,23.810000000000002,8.870000000000001,2.54,1.23,0.5499999999999999
Colombia,45.23,19.99,6.68,2.52,1.23,0.47000000000000003
Canada,95.98,54.13,12.36,2.94,0.91,0.36
Uruguay,43.230000000000004,20.22,5.04,1.87,0.79,0.29
Austria,77.35,22.85,7.03,1.8900000000000001,0.61,0.25
Türkiye,43.99,14.14,4.16,1.01,0.44,0.13999999999999999
Algeria,84.35000000000001,22.39,3.9800000000000004,1.06,0.19,0.09
DR Congo,79.09,19.24,3.53,0.7799999999999999,0.21,0.08
Scotland,70.05,14.899999999999999,4.67,1.13,0.29,0.08
Australia,58.589999999999996,13.639999999999999,3.3300000000000005,0.84,0.18,0.06999999999999999
Ivory Coast,67.99,14.430000000000001,2.73,0.73,0.2,0.06999999999999999
Czechia,36.199999999999996,8.49,2.4299999999999997,0.64,0.16,0.06999999999999999
South Africa,46.22,6.819999999999999,1.41,0.4,0.15,0.06
Uzbekistan,39.77,5.16,1.0999999999999999,0.42,0.13999999999999999,0.06
Egypt,85.19,22.84,4.2299999999999995,1.15,0.18,0.05
Cape Verde,66.9,8.260000000000002,1.3299999999999998,0.3,0.13999999999999999,0.04
Saudi Arabia,45.85,6.0,1.18,0.37,0.09,0.04
Iran,65.82000000000001,12.25,2.98,0.9299999999999999,0.16999999999999998,0.04
Paraguay,75.08,20.48,3.88,0.8099999999999999,0.09,0.03
Ecuador,35.82,6.0,1.32,0.44,0.08,0.02
Qatar,46.27,5.81,1.02,0.36,0.06999999999999999,0.02
Bosnia-Herzegovina,30.130000000000003,4.36,0.8699999999999999,0.27,0.06999999999999999,0.02
Curaçao,55.84,5.07,0.72,0.21,0.1,0.02
New Zealand,19.139999999999997,2.32,0.63,0.18,0.06,0.01
Ghana,53.290000000000006,6.68,1.8900000000000001,0.8,0.15,0.01
Panama,13.19,1.21,0.27999999999999997,0.13,0.03,0.01
Iraq,27.529999999999998,2.9899999999999998,0.72,0.16,0.04,0.0
Tunisia,12.61,1.83,0.47000000000000003,0.16,0.0,0.0
Jordan,15.2,1.49,0.26,0.09,0.03,0.0
Haiti,9.31,0.72,0.18,0.08,0.02,0.0
